# E_photon	π+＋π-→π+＋π-＋γ	π+＋π-→π+＋π-＋γ_error	π+＋π+→π+＋π+＋γ	π+＋π+→π+＋π+＋γ_error	π-＋π-→π-＋π-＋γ	π-＋π-→π-＋π-＋γ_error	π+＋π0→π+＋π0＋γ	π+＋π0→π+＋π0＋γ_error	π-＋π0→π-＋π0＋γ	π-＋π0→π-＋π0＋γ_error	π+＋π-→π0＋π0＋γ	π+＋π-→π0＋π0＋γ_error	π0＋π0→π+＋π-＋γ	π0＋π0→π+＋π-＋γ_error	total	total_error	
0.29000000000000004	4.841645075560432e-06	1.997322069216182e-06	8.381081027110197e-06	1.1169266094996788e-06	8.060710068373505e-06	1.1135172235999824e-06	1.0916688154164945e-05	1.02653158121938e-06	1.0817540115114422e-05	1.1433254249152462e-06	2.028096922636411e-06	9.642300808317102e-07	6.873407046599979e-06	8.486492986875968e-07	5.191916840955987e-05	4.160202018813147e-06
0.31	4.452019028563631e-06	1.9708623225190334e-06	6.628186454211125e-06	8.129782320768397e-07	6.459519495246816e-06	9.049461971030956e-07	8.664252375271958e-06	8.798342052242266e-07	8.535195587746905e-06	9.197347067134771e-07	1.6478715166085133e-06	8.618886082215884e-07	5.488164755453308e-06	6.591072550412122e-07	4.1875209213102254e-05	3.8127046402361454e-06
0.33	3.849759158429568e-06	1.5679858925162496e-06	5.281316909879105e-06	7.613437659627533e-07	5.194427471544753e-06	7.258322733488941e-07	6.901553033238886e-06	6.105187327029382e-07	6.889615316020701e-06	7.161282625540283e-07	1.5308703063459497e-06	6.61599501337282e-07	4.391277755255676e-06	5.561090811876515e-07	3.403881995071464e-05	3.3191984025183704e-06
0.35000000000000003	3.5864370349524237e-06	1.4471388942328772e-06	4.298456720467107e-06	5.949551831063909e-07	4.047388866585453e-06	5.922174820707724e-07	5.60342929584853e-06	5.29166103726536e-07	5.4701793925505675e-06	6.1135478561829e-07	1.2961112776112496e-06	5.310986954230077e-07	3.4258961567907473e-06	4.2658429535783337e-07	2.7727898744806076e-05	2.5369081841458344e-06
0.37	3.1045362230139717e-06	1.1876970162240894e-06	3.3982932854006926e-06	4.896019515698083e-07	3.266063420927945e-06	4.5783843782001924e-07	4.4827199294675e-06	5.028431327619228e-07	4.34970896414954e-06	4.7927267478798e-07	1.1165438949007374e-06	5.444211879106372e-07	2.761074008444513e-06	3.750141432401461e-07	2.2478939726304897e-05	2.2111685064824196e-06
0.39	2.8432283442342644e-06	1.127936059786406e-06	2.7398404509981267e-06	4.30822506201776e-07	2.6174211380387856e-06	3.960602581715902e-07	3.5900279110057874e-06	3.3423960451029336e-07	3.5228778554990405e-06	3.634824810203272e-07	1.0655376740148943e-06	5.280356894443182e-07	2.217053807965921e-06	3.538994346813051e-07	1.859598718175682e-05	1.9935579832713995e-06
0.41000000000000003	2.713741297073713e-06	1.1198924912573888e-06	2.1758910477105645e-06	3.156014075778881e-07	2.123923825748351e-06	2.900872287228638e-07	2.89893676140654e-06	3.261858247901877e-07	2.8256772863790806e-06	3.1871772864539787e-07	8.715008360219607e-07	4.2166049332251427e-07	1.7437234915175696e-06	2.6868709131291646e-07	1.5353394545857777e-05	1.6738079108764187e-06
0.43	2.394637293976272e-06	9.971674554629102e-07	1.7745900763734112e-06	3.076078336734112e-07	1.6979862569631419e-06	2.4017225503011513e-07	2.3035756017679194e-06	2.3691420144734554e-07	2.274532769621497e-06	2.7378537129117484e-07	7.762312928672694e-07	3.935769229048665e-07	1.4164806642843274e-06	2.5848602841306067e-07	1.2638033955853837e-05	1.4908021242753923e-06
0.45	2.2176281412424014e-06	9.086969783232429e-07	1.413694475737553e-06	2.306488540511868e-07	1.3566318210551353e-06	2.2738401613797007e-07	1.8921352795215902e-06	2.3311142507642946e-07	1.8415056611066547e-06	2.266091142211039e-07	7.512009454618837e-07	3.874168884505419e-07	1.109013163908352e-06	1.8350659707652612e-07	1.058180948803357e-05	1.41804599756194e-06
0.47000000000000003	2.040392650192274e-06	8.24817020830807e-07	1.1698904493017606e-06	1.9915156203659376e-07	1.068738072121721e-06	1.9959188460210157e-07	1.5024683764254575e-06	1.7295819391739197e-07	1.4956071624900084e-06	1.8511617403001726e-07	5.5395090030269e-07	2.779729208804108e-07	8.869878185134988e-07	1.6290243384697696e-07	8.71803542934741e-06	1.1139018679570595e-06
