# t 	dNdt (2to2) 	error (2to2) 	dNdt (Brems) 	error (Brems) 
28.25	0.00305499344683	6.16035552757e-05	7.42904962703e-05	1.64173372722e-06
28.75	0.00296586760021	5.86105401522e-05	7.57368053921e-05	1.69588665433e-06
29.25	0.00274727440834	5.50695464605e-05	7.35844687979e-05	1.56611591794e-06
29.75	0.0025811647182	4.90928002344e-05	7.19781315116e-05	1.55820416539e-06
30.25	0.00250339000987	5.01882239665e-05	6.88536802932e-05	1.35400815322e-06
30.75	0.00235796329019	4.99148971203e-05	6.4360309953e-05	1.5785967003e-06
31.25	0.00224207812441	4.82349538605e-05	6.03544414971e-05	1.54181572668e-06
31.75	0.00219880343969	4.98707379934e-05	5.66327086219e-05	1.54217716612e-06
32.25	0.0020653983412	4.48753110399e-05	5.54357418193e-05	1.53705669082e-06
32.75	0.00202142070472	4.73951036934e-05	5.15269850127e-05	1.45038966456e-06
33.25	0.001967365253	4.61768720855e-05	4.82550602263e-05	1.30040691699e-06
33.75	0.00185821566416	4.10253564311e-05	5.0685623308e-05	1.49783560838e-06
34.25	0.00180247768435	4.20928732573e-05	4.91348610982e-05	1.23886662209e-06
34.75	0.00176280711279	4.45763554326e-05	5.16168551911e-05	1.55321069857e-06
35.25	0.00168198459714	4.12996204449e-05	4.76879360706e-05	1.19711952433e-06
35.75	0.00151742680806	4.02408817834e-05	4.57891200941e-05	1.1777793969e-06
36.25	0.00151315193855	3.98001282104e-05	4.21202389581e-05	1.13214242464e-06
36.75	0.00149223543459	3.98075961443e-05	4.08546800927e-05	1.19011485055e-06
37.25	0.00141417994143	3.97302874754e-05	3.73909929731e-05	9.90233799344e-07
37.75	0.00135316953909	3.73759215529e-05	3.76782975827e-05	1.10488805797e-06
38.25	0.0013267260754	3.76857412236e-05	3.58238565628e-05	1.03835956973e-06
38.75	0.00136591253037	3.82983032431e-05	3.18339716286e-05	8.96505639452e-07
39.25	0.00126555250919	3.61328960708e-05	3.21379659168e-05	9.36031843857e-07
39.75	0.0012540176145	3.45699919988e-05	3.25968538684e-05	1.0238873588e-06
40.25	0.00115148264256	3.27409190012e-05	3.50522283603e-05	2.61534899532e-06
40.75	0.00108096676612	3.2634152281e-05	3.07634373384e-05	8.50406692917e-07
41.25	0.00108872140538	3.30126435066e-05	3.08385543844e-05	1.0198101372e-06
41.75	0.000953136572116	2.93178811523e-05	3.21511624628e-05	1.02924273777e-06
42.25	0.00100994050653	3.5839578821e-05	2.87431502325e-05	8.08122581015e-07
42.75	0.00095298463449	3.00195278106e-05	2.71636850129e-05	9.05056634823e-07
43.25	0.000954001735188	3.11860308011e-05	2.40770850291e-05	6.48671155668e-07
43.75	0.000911428804	3.30558911919e-05	2.4099047877e-05	7.43620279723e-07
44.25	0.000875837716082	2.94211726992e-05	2.315203026e-05	7.07003961017e-07
44.75	0.000876239285483	2.78640671603e-05	2.18525566587e-05	6.87742273179e-07
45.25	0.000884890550055	2.94727699822e-05	2.2356856368e-05	8.68776707048e-07
45.75	0.000823829779026	2.6629987715e-05	2.19432702417e-05	8.64183867967e-07
46.25	0.000826647570149	2.69732331923e-05	2.08974084456e-05	6.53544594202e-07
46.75	0.000781014333693	2.84163915182e-05	2.00607790503e-05	7.32872699964e-07
47.25	0.000797905004569	2.73394504122e-05	2.13750139887e-05	7.22991909814e-07
47.75	0.000752927549437	3.08323278777e-05	2.09202929461e-05	7.03774573939e-07
48.25	0.00071462041384	2.69012742958e-05	2.03572235657e-05	7.49850741687e-07
48.75	0.00068941832251	2.64414897281e-05	2.00433240027e-05	6.83267856427e-07
49.25	0.000644686983263	2.53497803404e-05	1.75787929981e-05	5.41964087675e-07
49.75	0.000640468412891	2.41578449923e-05	1.68648591652e-05	6.27181140814e-07
50.25	0.000630912005374	2.61393464499e-05	1.83877021579e-05	7.56070603857e-07
50.75	0.000638925961683	2.60138357544e-05	1.61337008854e-05	6.02815595871e-07
51.25	0.000623525377111	2.65120034636e-05	1.65785487785e-05	6.73368998272e-07
51.75	0.000591266838613	2.26802538072e-05	1.40819906217e-05	5.6581232689e-07
52.25	0.000613793442564	2.43265459966e-05	1.51850806544e-05	7.12907242987e-07
52.75	0.00056667309177	2.3791133478e-05	1.35047735131e-05	5.80695761418e-07
53.25	0.000549383648453	2.33870787793e-05	1.47164877618e-05	7.59467249281e-07
53.75	0.000521651955899	2.13591809186e-05	1.3765877626e-05	4.99132607574e-07
54.25	0.000529235865836	2.38664596694e-05	1.19742001736e-05	4.77776626852e-07
54.75	0.000527728017326	2.16802452266e-05	1.32904329384e-05	6.16507467396e-07
55.25	0.000482872529962	2.18270620006e-05	1.25983587777e-05	4.67964773146e-07
55.75	0.000485409413375	2.40826786024e-05	1.28699324734e-05	4.93974748751e-07
56.25	0.000452617385093	2.03042976093e-05	1.32560290282e-05	5.64048352834e-07
56.75	0.000471384863198	2.32119640181e-05	1.33000209921e-05	6.45600946347e-07
57.25	0.000418060843426	1.78946083197e-05	1.42692317941e-05	7.8016834475e-07
57.75	0.000421950677445	1.9634788485e-05	1.19087027994e-05	5.00497007726e-07
58.25	0.000393624868127	1.95599791796e-05	1.17033454419e-05	4.67046951789e-07
58.75	0.000399219660721	1.96357727816e-05	1.17782848527e-05	6.46658052977e-07
59.25	0.000403002778536	2.03381478239e-05	9.9129763505e-06	3.7913928965e-07
59.75	0.000365638920623	1.9277642111e-05	9.77061468732e-06	4.54008555292e-07
60.25	0.000418139837203	2.03951223974e-05	9.69665953589e-06	4.95625573115e-07
60.75	0.00037853757365	1.75109721967e-05	9.52437031496e-06	4.34221472184e-07
61.25	0.000362739736907	1.72415921131e-05	9.26078614034e-06	4.30777275343e-07
61.75	0.000372547395856	1.93816333163e-05	7.71164365305e-06	3.56573258254e-07
62.25	0.000331766655966	1.60461967729e-05	8.60488735849e-06	4.48343306817e-07
62.75	0.000323206348173	1.77538183048e-05	7.75690911292e-06	3.72366744188e-07
63.25	0.000368016552698	1.91467759604e-05	8.32812442072e-06	3.62045537109e-07
63.75	0.000335253062693	1.74948489966e-05	7.55421691143e-06	3.48909657602e-07
64.25	0.000312961929527	1.74381161457e-05	7.85073275967e-06	3.61571459725e-07
64.75	0.000319709206294	1.70140576466e-05	8.13216349181e-06	3.58198715733e-07
65.25	0.00030649804932	1.58953948965e-05	7.78236478872e-06	4.86638413239e-07
65.75	0.000284996416372	1.63327479692e-05	7.15940688474e-06	4.31196365382e-07
66.25	0.000263838785757	1.44294337461e-05	7.41158377322e-06	3.97905605054e-07
66.75	0.000291817789867	1.71029696366e-05	6.92014946526e-06	2.91973669118e-07
67.25	0.000284778549391	1.78064881868e-05	6.79799638405e-06	4.00245848925e-07
67.75	0.000290587221941	1.79949025806e-05	6.44536040264e-06	3.58329048498e-07
68.25	0.000266295568762	1.57823574792e-05	6.15427571454e-06	2.58514939664e-07
68.75	0.00025159880089	1.5385599836e-05	6.92738553877e-06	4.33836394025e-07
69.25	0.000260084395623	1.5703179619e-05	5.60524643434e-06	3.47319961474e-07
