# E_photon	π＋π→ρ0＋γ	π＋π→ρ0＋γ_error	π＋π0→ρ＋γ	π＋π0→ρ＋γ_error	π＋ρ→π0＋γ	π＋ρ→π0＋γ_error	π＋ρ0→π＋γ	π＋ρ0→π＋γ_error	π＋π→η＋γ	π＋π→η＋γ_error	π＋π→γ＋γ	π＋π→γ＋γ_error	π＋η→π＋γ	π＋η→π＋γ_error	π0＋ρ→π＋γ	π0＋ρ→π＋γ_error	π0＋ρ0→π0＋γ	π0＋ρ0→π0＋γ_error	total	total_error	
0.10500000000000001	0.0002223660102524931	1.6901972065680248e-05	0.000159190820900108	6.852314169712791e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00038155683115260113	2.051608839500038e-05
0.115	0.00018130249937215807	1.3706319401271684e-05	0.00012506691712041508	7.273978793123681e-06	2.5531810934996235e-09	7.65954328049887e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.94230121406872e-10	5.826903642206159e-10	0.0	0.0	0.000306372163903788	1.8261162487765027e-05
0.125	0.00014752347443194262	1.0528643702042025e-05	0.00010138786619515627	4.560834243786037e-06	6.83036529474594e-09	1.109790898668181e-08	9.439820180046271e-10	2.831946054013882e-09	0.0	0.0	0.0	0.0	0.0	0.0	6.867835187406677e-10	1.0932784343172533e-09	3.695067736362949e-10	1.1085203209088847e-09	0.00024892017126470405	1.350733966289332e-05
0.135	0.00011848977428426585	8.894596135949056e-06	8.353141529693783e-05	2.997418973807207e-06	2.0504109949159615e-08	2.2450011260671e-08	2.378205558382144e-09	2.366685286680643e-09	0.0	0.0	0.0	0.0	0.0	0.0	7.06565997180969e-10	1.707308754173937e-09	3.24031308911583e-09	4.2117760105349264e-09	0.0002020480187757975	1.0652272575211116e-05
0.14500000000000002	0.00010018675590730475	7.482380292141365e-06	6.901195519356286e-05	2.7954807202635968e-06	2.538143359217965e-08	2.0254021177398538e-08	6.384636833902032e-09	4.9800752459250814e-09	0.0	0.0	0.0	0.0	0.0	0.0	4.325572187262506e-09	3.4040501495602217e-09	4.289845217141991e-09	7.242089329370113e-09	0.00016923909258869809	8.336252892610142e-06
0.155	8.301341082217187e-05	7.704246677420513e-06	5.93454122309691e-05	3.1529323484669603e-06	6.395006630739507e-08	3.718063554793333e-08	1.3356173142910115e-08	8.270724158457079e-09	0.0	0.0	0.0	0.0	0.0	0.0	4.279801029972722e-09	3.2859099493775593e-09	2.2607348381203376e-08	1.3528682781181614e-08	0.00014246301644200244	8.875527091931393e-06
0.165	7.05570380523817e-05	6.61738752643691e-06	4.9883090429206735e-05	2.42329087642396e-06	9.231070945404562e-08	4.0526952932709814e-08	2.2715321365131186e-08	1.3351477290498411e-08	0.0	0.0	0.0	0.0	0.0	0.0	8.625212584337138e-09	3.399762351681819e-09	2.3988064941558694e-08	2.020331987434329e-08	0.00012058776778993351	7.109469818115966e-06
0.17500000000000002	5.968133542959908e-05	4.053707131168214e-06	4.2202620504473155e-05	2.2370596806190816e-06	1.3426374392186647e-07	3.386802810634074e-08	3.797006626635817e-08	1.4664284372864301e-08	0.0	0.0	0.0	0.0	0.0	0.0	1.8756138801376148e-08	1.0790682993197757e-08	2.7005250929007985e-08	1.7221332564145234e-08	0.00010210195113399085	4.895974578612694e-06
0.185	5.137527632127871e-05	3.690614964242519e-06	3.6485940103782e-05	1.994025160492671e-06	1.7922562593547307e-07	5.5910957570553254e-08	5.276725605240635e-08	1.9568367154669707e-08	0.0	0.0	0.0	0.0	0.0	0.0	2.076809859953269e-08	9.147561455208527e-09	4.169446314628979e-08	1.94079545511063e-08	8.815567186879439e-05	4.836210058326465e-06
0.195	4.361260563868935e-05	3.38938449146728e-06	3.0756502723069514e-05	1.9531394648067705e-06	2.525122314231707e-07	5.9397282018626595e-08	7.748170745204206e-08	2.0310751000715213e-08	0.0	0.0	0.0	0.0	0.0	0.0	3.3673305474190466e-08	1.0275566514004573e-08	5.328289539576631e-08	1.7315812246722345e-08	7.478605850150404e-05	3.537351577838619e-06
0.20500000000000002	3.693088101748481e-05	3.0878331691078813e-06	2.6320772638904386e-05	1.7386542813749487e-06	3.806718298071151e-07	5.1689044358295176e-08	8.727766980970779e-08	2.544616874352898e-08	0.0	0.0	0.0	0.0	0.0	0.0	4.7546900526375116e-08	1.8168033410899473e-08	8.134124037912727e-08	2.774335080725947e-08	6.384849129691152e-05	3.343034985157408e-06
