# E_photon	π+＋π-→π+＋π-＋γ	π+＋π-→π+＋π-＋γ_error	π+＋π+→π+＋π+＋γ	π+＋π+→π+＋π+＋γ_error	π-＋π-→π-＋π-＋γ	π-＋π-→π-＋π-＋γ_error	π+＋π0→π+＋π0＋γ	π+＋π0→π+＋π0＋γ_error	π-＋π0→π-＋π0＋γ	π-＋π0→π-＋π0＋γ_error	π+＋π-→π0＋π0＋γ	π+＋π-→π0＋π0＋γ_error	π0＋π0→π+＋π-＋γ	π0＋π0→π+＋π-＋γ_error	total	total_error	
0.21000000000000002	0.000247608633855458	2.129994728487237e-06	1.870178084892538e-05	2.3557622896764914e-07	1.8649929995800663e-05	2.1954039445090456e-07	2.549662073219223e-05	1.8393668502385677e-07	2.5449380773632744e-05	1.7961054164214852e-07	1.2140776958060591e-05	1.7343378327079595e-07	1.642022877727783e-05	1.747674999218755e-07	0.0003644673519413473	2.687811340484485e-06
0.23	0.00019586455960982175	1.6263930640650744e-06	1.4654322505530239e-05	1.7774804294404409e-07	1.4613191279093444e-05	1.8391560204476405e-07	1.9907719716122346e-05	1.4624258170287457e-07	1.987158559750863e-05	1.493176892653919e-07	1.0068994080648216e-05	1.3990542899328142e-07	1.2806551860821412e-05	1.4620080361593393e-07	0.00028778692464954595	2.0543262812697617e-06
0.25	0.00015531613574564271	1.3626782854505724e-06	1.1549246619787703e-05	1.5355967553295167e-07	1.1522350459969451e-05	1.3765359542976536e-07	1.5623974283468453e-05	1.1417215354034647e-07	1.5597280445812623e-05	1.126061795056538e-07	8.416176354352236e-06	1.220241686770581e-07	1.0032232609883542e-05	1.147349933332009e-07	0.0002280573965189167	1.733478375951661e-06
0.27	0.00012349713609747837	1.0937298074725354e-06	9.135762628304267e-06	1.1534662187185089e-07	9.118557433790165e-06	1.1137845060006013e-07	1.2316045625761048e-05	8.803938132277166e-08	1.2289086776755852e-05	8.917710025249009e-08	7.068393434593406e-06	9.663137846756668e-08	7.886796594310579e-06	9.191291326368995e-08	0.00018131177859099365	1.384579215147128e-06
0.29000000000000004	9.831286752201042e-05	8.427126524138221e-07	7.258868569622217e-06	9.395602234699749e-08	7.237259074608174e-06	8.919351552580564e-08	9.737503263491144e-06	7.585655770328211e-08	9.72223113610083e-06	7.491466717272148e-08	5.96417807474148e-06	8.725601977801713e-08	6.217798319315932e-06	7.30087176382275e-08	0.0001444507059598902	1.0977511753476506e-06
0.31	7.836636299496719e-05	6.855665556466565e-07	5.7714578282828654e-06	7.59980090628838e-08	5.761081934403249e-06	7.381164637615248e-08	7.727096080794544e-06	5.78054989402253e-08	7.709371092670448e-06	5.772318970180212e-08	5.058501640027462e-06	7.785867594907932e-08	4.917453160233858e-06	5.604869182829771e-08	0.00011531132473137958	8.981862464014197e-07
0.33	6.258099448161636e-05	5.614864172592354e-07	4.604259829287116e-06	6.283829988986708e-08	4.586366864956608e-06	6.100027596722239e-08	6.1484690988733435e-06	4.7197978640574744e-08	6.1331945695060955e-06	4.749605817247505e-08	4.293703561180069e-06	6.186574923909903e-08	3.889730177066507e-06	4.489271983596107e-08	9.22367185824861e-05	7.307371786432391e-07
0.35000000000000003	4.9961587369493285e-05	4.551732958310151e-07	3.676257196330884e-06	5.121618475305634e-08	3.6639034149459673e-06	4.795229184589902e-08	4.908543112533051e-06	3.992095925426258e-08	4.896406971110471e-06	4.117546766923706e-08	3.6412978072554244e-06	4.916789072274375e-08	3.0863644296140072e-06	3.8543354845053104e-08	7.383436030128308e-05	5.988637716348538e-07
0.37	3.998274163094076e-05	3.720239092296462e-07	2.937217460413463e-06	3.882875705299337e-08	2.9260852925594376e-06	3.716585603351852e-08	3.929457293777383e-06	3.1526044494767166e-08	3.9191723727121055e-06	3.245374382018416e-08	3.0935897564205985e-06	4.196619239360702e-08	2.4490625052174014e-06	3.045202426720079e-08	5.923732631204114e-05	4.81958355194064e-07
0.39	3.202208769006591e-05	3.165499752266903e-07	2.3500276016585012e-06	3.3714627105025e-08	2.341509912644544e-06	3.28697841249441e-08	3.152113197561454e-06	2.8551234240903086e-08	3.1440650810928216e-06	2.7035528019678564e-08	2.6280119441288767e-06	4.2220993107509266e-08	1.945676746284767e-06	2.3365220075261185e-08	4.758349217343688e-05	4.2297378843803537e-07
